,date,actions
0,2023-01-04,[100]
1,2023-01-05,[100]
2,2023-01-06,[100]
3,2023-01-09,[100]
4,2023-01-10,[100]
5,2023-01-11,[100]
6,2023-01-12,[100]
7,2023-01-13,[100]
8,2023-01-17,[100]
9,2023-01-18,[100]
10,2023-01-19,[100]
11,2023-01-20,[100]
12,2023-01-23,[100]
13,2023-01-24,[100]
14,2023-01-25,[70]
15,2023-01-26,[100]
16,2023-01-27,[100]
17,2023-01-30,[100]
18,2023-01-31,[100]
19,2023-02-01,[100]
20,2023-02-02,[100]
21,2023-02-03,[100]
22,2023-02-06,[100]
23,2023-02-07,[100]
24,2023-02-08,[100]
25,2023-02-09,[100]
26,2023-02-10,[100]
27,2023-02-13,[100]
28,2023-02-14,[-32]
29,2023-02-15,[100]
30,2023-02-16,[100]
31,2023-02-17,[100]
32,2023-02-21,[97]
33,2023-02-22,[100]
34,2023-02-23,[100]
35,2023-02-24,[100]
36,2023-02-27,[100]
37,2023-02-28,[100]
38,2023-03-01,[100]
39,2023-03-02,[100]
40,2023-03-03,[100]
41,2023-03-06,[100]
42,2023-03-07,[100]
43,2023-03-08,[100]
44,2023-03-09,[100]
45,2023-03-10,[100]
46,2023-03-13,[92]
47,2023-03-14,[9]
48,2023-03-15,[100]
49,2023-03-16,[100]
50,2023-03-17,[18]
51,2023-03-20,[100]
52,2023-03-21,[100]
53,2023-03-22,[100]
54,2023-03-23,[11]
55,2023-03-24,[100]
56,2023-03-27,[100]
57,2023-03-28,[100]
58,2023-03-29,[100]
59,2023-03-30,[100]
60,2023-03-31,[100]
61,2023-04-03,[100]
