,date,actions
0,2023-04-05,[0]
1,2023-04-06,[0]
2,2023-04-10,[0]
3,2023-04-11,[0]
4,2023-04-12,[0]
5,2023-04-13,[0]
6,2023-04-14,[0]
7,2023-04-17,[0]
8,2023-04-18,[0]
9,2023-04-19,[0]
10,2023-04-20,[0]
11,2023-04-21,[0]
12,2023-04-24,[0]
13,2023-04-25,[0]
14,2023-04-26,[0]
15,2023-04-27,[0]
16,2023-04-28,[0]
17,2023-05-01,[0]
18,2023-05-02,[0]
19,2023-05-03,[0]
20,2023-05-04,[0]
21,2023-05-05,[0]
22,2023-05-08,[0]
23,2023-05-09,[0]
24,2023-05-10,[0]
25,2023-05-11,[0]
26,2023-05-12,[0]
27,2023-05-15,[0]
28,2023-05-16,[0]
29,2023-05-17,[0]
30,2023-05-18,[0]
31,2023-05-19,[0]
32,2023-05-22,[0]
33,2023-05-23,[0]
34,2023-05-24,[0]
35,2023-05-25,[0]
36,2023-05-26,[0]
37,2023-05-30,[0]
38,2023-05-31,[0]
39,2023-06-01,[0]
40,2023-06-02,[0]
41,2023-06-05,[0]
42,2023-06-06,[0]
43,2023-06-07,[0]
44,2023-06-08,[0]
45,2023-06-09,[0]
46,2023-06-12,[0]
47,2023-06-13,[0]
48,2023-06-14,[0]
49,2023-06-15,[0]
50,2023-06-16,[0]
51,2023-06-20,[0]
52,2023-06-21,[0]
53,2023-06-22,[0]
54,2023-06-23,[0]
55,2023-06-26,[0]
56,2023-06-27,[0]
57,2023-06-28,[0]
58,2023-06-29,[0]
59,2023-06-30,[0]
60,2023-07-03,[0]
61,2023-07-05,[0]
